State,District,Latitude,Longitude,District code,Population,Households_with_Internet,Sex Ratio,literacy_rate
Assam,Nagaon,26.26462170626351,92.9306191144708,305,2823768,5121,962.1599986658439,60.582739091880065
Assam,Nalbari,26.46323767605632,91.40598521126763,323,771639,1631,948.5538097907607,68.91447943921963
Assam,Sonitpur,26.73514926829268,92.85197804878044,306,1924110,4358,955.5871304517514,57.614793333021495
Assam,Tinsukia,27.53549291139241,95.69055949367085,309,1327929,5135,952.173599850639,60.11782256430879
Bihar,Araria,26.211528119180603,87.30766554934816,209,2811569,2561,921.3459957507963,42.530274021373835
Bihar,Aurangabad,24.774291867469877,84.45986024096379,235,2540073,2362,926.218108356513,57.71495543632014
Bihar,Aurangabad,24.774291867469877,84.45986024096379,515,3701282,23258,923.2744201127687,67.64783121091557
Bihar,Banka,24.832355642023337,86.8664916342413,225,2034763,1704,906.7441947635737,47.44144649770023
Bihar,Begusarai,25.54302613168723,86.12560144032932,222,2970541,4644,894.888560019392,52.13437552284247
Bihar,Bhagalpur,25.277192885375477,87.04213814229242,224,3037766,6764,880.1977887715445,51.78364627163514
Bihar,Bhojpur,25.50666439393939,84.49407803030304,231,2728407,3661,907.4700429256561,58.61116028510409
Bihar,Buxar,25.48593018867924,84.08808081760995,232,1706352,1784,921.6173391878393,58.00719898356259
Bihar,Darbhanga,26.146187719298258,85.97387352472099,215,3937385,6280,911.3992627972829,46.138084032930486
Bihar,Gaya,24.7266541547278,84.94291217765044,236,4391418,6856,937.4763408610206,52.32052608064184
Bihar,Gopalganj,26.44874364161851,84.34636127167629,217,2562012,3707,1021.0465532719186,53.98093373489273
Bihar,Jamui,24.78418380462726,86.26316298200514,238,1760405,1839,921.7052520347924,48.77218594584769
Bihar,Jehanabad,25.155679045643165,84.9208124481328,239,1125313,1106,921.7001205638151,54.99634323961422
Bihar,Katihar,25.56565356037151,87.70466083591326,212,3071029,2941,918.8774266915767,41.68602771253544
Bihar,Khagaria,25.53558891454964,86.56593256351037,223,1666886,1580,886.0742306395439,46.07561644887533
Bihar,Kishanganj,26.324336758321294,87.95045007235886,210,1690400,1093,949.7791157710186,44.07572172266919
Bihar,Lakhisarai,25.183449321266963,86.12825701357468,227,1000912,1186,901.6272596870873,50.68077912943396
Bihar,Madhepura,25.77341929460581,86.8978443983403,213,2001762,1397,910.8823464835871,41.692119242946966
Bihar,Madhubani,26.41380538172716,86.16328360450552,207,4487379,5319,926.481756638116,48.03111125670464
Bihar,Munger,25.198537962962963,86.54173672839504,226,1367765,2653,876.1153350771767,58.62242417374329
Bihar,Muzaffarpur,26.18664417177915,85.32745092024543,216,4801062,10290,899.5322249640652,52.264103233826184
Bihar,Nalanda,25.229345508982053,85.48053113772461,229,2877653,4156,922.2028509211387,52.818494794195125
Bihar,Nawada,24.825708836206903,85.61594568965519,237,2219146,1841,938.6809100979499,49.163597167559054
Bihar,Pashchim Champaran,27.16064352201258,84.30265911949685,203,3935042,3495,909.1858270543543,44.713144103671574
Bihar,Patna,25.40297114503818,85.3198433587787,230,5838465,40692,896.5217611625357,59.25665393215511
Bihar,Purba Champaran,26.68129336734693,85.00382155612242,204,5099371,7719,901.8923925736487,44.65172273207813
Bihar,Purnia,25.81714801901739,87.40447606973065,211,3264619,4170,921.0760458287482,40.81107167482637
Bihar,Rohtas,24.99170460829495,83.9350762672811,234,2959918,4594,917.609193376809,60.806819648382145
Bihar,Saharsa,25.821270696721303,86.54670819672135,214,1900661,1668,906.0474902073258,42.35347597493714
Bihar,Samastipur,25.793205563909765,85.94833323308269,221,4261566,5379,911.0135726274807,50.28386278659066
Bihar,Saran,25.89656077844312,84.82266287425155,219,3951862,4509,953.6390021657872,54.59335371528662
Bihar,Sheikhpura,25.12472436548223,85.77839390862943,228,636342,631,929.8120051070076,51.65084184290837
Bihar,Sheohar,26.458380748663107,85.29539411764709,205,656246,478,892.9827243540743,43.23043492836528
Bihar,Sitamarhi,26.56570069686413,85.61172491289203,206,3423574,3460,898.5554986213796,41.96766303284229
Bihar,Siwan,26.1736372013652,84.33766552901022,218,3330464,3834,988.2298861553708,57.95513778260326
Bihar,Supaul,26.28157893772896,86.78496465201461,208,2229076,1845,929.4631704958871,46.35476762568885
Bihar,Vaishali,25.8134703180212,85.39247597173153,220,3495021,4810,894.7978758874187,55.12813799974307
Chandigarh,Chandigarh,30.7426,76.75872465753424,55,1055450,44283,817.6636017793454,76.31228385996495
Chhattisgarh,Bastar,19.393866751269048,81.52895126903546,414,1413199,1782,1023.2287787746945,46.05600485140451
Chhattisgarh,Bilaspur,22.356942982456143,81.99770350877188,30,381956,1574,981.469569006661,75.3018672307805
Chhattisgarh,Bilaspur,22.356942982456143,81.99770350877188,406,2663629,8566,970.7607574576012,59.939278330428145
Chhattisgarh,Dhamtari,20.554912627291245,81.7569195519348,412,799781,1016,1010.0201811021445,68.37284206551544
Chhattisgarh,Durg,21.194463849287164,81.33181639511197,409,3343872,16141,987.9139243125115,68.88355774383709
Chhattisgarh,Jashpur,22.77286167664669,83.8703962075848,402,851669,567,1005.1206953786607,58.16989933882765
Chhattisgarh,Korba,22.491712499999995,82.57604326923074,404,1206640,4544,968.6906014700244,62.05322217065571
Chhattisgarh,Koriya,23.50412776859501,82.12515636363635,400,658917,1667,968.4618073293361,60.375282471085136
Chhattisgarh,Mahasamund,21.223727037773354,82.65925427435384,411,1032754,961,1017.2276728773535,61.772987565286606
Chhattisgarh,Raigarh,22.008265068493166,83.27797698630134,403,1493984,3342,991.240580158288,63.6980717330306
Chhattisgarh,Raigarh,22.008265068493166,83.27797698630134,520,2634200,38570,959.4672498502988,73.64642016551515
Chhattisgarh,Raipur,20.88603153846152,82.20032759615388,410,4063872,20261,984.1323004844287,64.71042887177549
Chhattisgarh,Surguja,23.32719278728607,83.23582493887531,401,2359886,2737,977.8967739448124,50.33891467638691
Daman and Diu,Daman,20.431616666666677,72.8392366071429,495,191173,1316,533.5675723373362,78.64499693994445
Daman and Diu,Junagadh,20.72568199498111,70.83985639899612,479,2743082,6628,953.2668354747657,67.18056550988997
Goa,North Goa,15.548723418714054,73.80667997909038,585,818008,23440,963.1705133712684,81.05788696443066
Goa,South Goa,15.195278658183785,73.941792596877,586,640537,17624,986.3891361179423,78.43840402662141
Gujarat,Ahmadabad,22.605425564971743,72.23898135593227,474,7214225,126341,904.4688152297844,75.34780243200066
Gujarat,Amreli,21.04832649310872,71.43457637825426,480,1514190,2538,963.805153758062,65.74201388200952
Gujarat,Anand,22.282718206229863,72.57782051557454,482,2092745,9902,924.8517324856699,74.12527565470232
Gujarat,Banas Kantha,24.258538965517253,71.93205252873561,469,3120506,3424,937.7463317641375,54.63610709288814
Gujarat,Bharuch,21.75787276237761,72.67326346710801,488,1551019,10257,925.0409888458211,72.09943914291186
Gujarat,Bhavnagar,21.70219390341736,72.16272632761141,481,2880365,7297,932.8701295999667,65.52138357465113
Gujarat,Gandhinagar,23.193679790026252,72.67221679790026,473,1391753,12107,922.6719383751644,74.04287973512541
Gujarat,Jamnagar,22.410600414263328,69.62062005768233,477,2160119,11573,938.7313856139697,64.65079007221361
Gujarat,Junagadh,20.929523011609785,70.54733890140345,479,2743082,6628,953.2668354747657,67.18056550988997
Gujarat,Kachchh,23.48057203301311,68.82192301497916,468,2092371,9631,907.8147267758816,59.851670664523645
Gujarat,Kheda,22.88765312500002,73.018803515625,483,2299885,5710,939.6412496299739,72.18808766525284
Gujarat,Mahesana,23.529355452865065,72.45545194085031,471,2035064,7759,926.1954340665582,73.83772697074883
Gujarat,Narmada,21.70666386292833,73.68403208722742,487,590297,576,960.5594414884783,62.73723227460075
Gujarat,Navsari,20.866973318871995,72.86184869848157,490,1329672,6726,960.6909822830727,75.35008633708162
Gujarat,Panch Mahals,22.80435606837605,73.61984598290586,484,2390776,3456,948.5346315001048,60.26516076788457
Gujarat,Patan,23.80634198473284,71.75162977099237,470,1343734,2231,935.1091666582661,62.3570587631183
Gujarat,Porbandar,21.55092351651571,69.71896987722886,478,585449,1653,950.1380704775672,67.24377358232742
Gujarat,Rajkot,22.40603377715488,70.83679439383323,476,3804558,21785,926.8999642937636,71.62608639426709
Gujarat,Sabar Kantha,23.71803594548552,73.13638790459964,472,2428589,5262,951.8795143345569,65.00622377849854
Gujarat,Surat,21.25761372772093,72.93488716344339,492,6081322,55694,787.4549118458984,75.17131965714033
Gujarat,Surendranagar,22.82672007299272,71.48358740875906,475,1756268,2975,930.1408809814523,62.269881362070024
Gujarat,The Dangs,20.801633877551023,73.6883518367347,489,228291,137,1005.7019354952075,61.749258621671466
Gujarat,Vadodara,22.26133739279589,73.49433010291594,486,4165626,53606,934.1395602803686,69.45126614823319
Gujarat,Valsad,20.44238231644259,72.9148584798345,491,1705678,11020,922.4929048197633,68.63294244282918
Haryana,Ambala,30.3503672316384,76.94970310734456,70,1128350,12899,884.6573342709156,72.49745203172775
Haryana,Bhiwani,28.728868064516128,76.02110225806452,81,1634445,5292,885.8864714678679,65.45775477302693
Haryana,Faridabad,28.14873109756098,77.32718536585368,88,1809733,43437,873.2163004212771,70.32744609287668
Haryana,Fatehabad,29.57298318584072,75.54608716814157,78,942011,3210,901.6694928940568,59.19017930788494
Haryana,Gurgaon,28.043894789579163,77.01935130260523,86,1514432,67087,854.3535490822711,73.3684972319655
Haryana,Hisar,29.23628731117825,75.84324682779452,80,1743931,10132,872.05038419343,63.89650737328484
Haryana,Jhajjar,28.59651868131869,76.61137142857145,83,958405,5034,862.1846747508583,70.5433506711672
Haryana,Jind,29.45149821958457,76.29598575667653,77,1334152,5263,871.1651795356561,62.41852502563427
Haryana,Kaithal,29.96068539094649,76.37698930041155,73,1074304,3724,881.4331973737442,60.18119638389133
Haryana,Karnal,29.703200647249204,76.87488025889972,74,1505324,11163,887.0519686302825,64.97026553751883
Haryana,Kurukshetra,30.05652659846548,76.78774680306903,72,964655,7356,887.8675319388778,67.05951868802836
Haryana,Mahendragarh,28.1352161458333,76.14018072916659,84,922088,2624,894.7078585885569,68.35085154562255
Haryana,Panchkula,30.700897142857134,76.97173238095236,69,561293,18615,872.9807560756676,72.2114831291322
Haryana,Panipat,29.34352134146342,76.92895914634147,75,1205437,10024,863.52934265224,65.25426048810515
Haryana,Rewari,28.19164714828897,76.55956007604564,85,900332,5121,898.0931198414622,70.74579155244955
Haryana,Rohtak,28.892517647058817,76.53123235294117,82,1061204,8482,866.7426589196787,70.44658708410448
Haryana,Sirsa,29.63583446327684,74.90970480225988,79,1295189,6287,897.4848443117456,60.446544867196984
Himachal Pradesh,Bilaspur,31.3780422907489,76.65316079295157,30,381956,1574,981.469569006661,75.3018672307805
Himachal Pradesh,Bilaspur,31.3780422907489,76.65316079295157,406,2663629,8566,970.7607574576012,59.939278330428145
Himachal Pradesh,Chamba,32.66741814595661,76.39354063116366,23,519080,1615,986.3768559620388,62.3876859058334
Himachal Pradesh,Hamirpur,31.67668481012659,76.49767088607594,28,454768,2521,1095.0292532362832,78.74146817718045
Himachal Pradesh,Hamirpur,31.67668481012659,76.49767088607594,168,1104285,1196,860.5158566357278,59.16036168199332
Himachal Pradesh,Kangra,32.14093603238864,76.41205910931173,24,1510075,8053,1011.8479971116094,76.32998361008559
Himachal Pradesh,Kinnaur,31.60667184065933,78.51613736263741,34,84121,354,818.8717593893922,72.15677417054005
Himachal Pradesh,Kullu,31.90911922077925,77.40922649350647,26,437903,2623,942.3336231215513,70.26030878984615
Himachal Pradesh,Mandi,31.635805940594054,76.96556930693067,27,999777,5333,1007.3223374459157,72.39084315802424
Himachal Pradesh,Shimla,31.155725451807253,77.62573042168668,33,814010,9177,915.1419046252227,75.26222036584316
Himachal Pradesh,Sirmaur,30.682764453961443,77.43184689507493,32,529855,2220,917.7564072402448,68.44230968849968
Himachal Pradesh,Solan,31.03864311926604,76.94442140672783,31,580320,5250,879.5545968635224,73.85201268265784
Himachal Pradesh,Una,31.58330388349513,76.18353932038836,29,521173,2412,976.4460051878707,76.69526241766171
Jammu and Kashmir,Doda,33.359614675767915,76.07163720136518,16,409936,596,918.8077194920451,53.443220405136415
Jammu and Kashmir,Jammu,32.713199095022645,74.8477520361991,21,1529958,19905,879.9686909037737,74.32458930245144
Jammu and Kashmir,Kargil,33.565994894894914,76.63675315315312,4,140802,235,810.1433438323584,61.246289115211425
Jammu and Kashmir,Kathua,32.51781678321678,75.58901398601404,7,616435,1443,890.2728842196934,63.1378815284661
Jammu and Kashmir,Pulwama,33.88414418604652,75.00921860465118,12,560440,1537,912.3467911445964,52.451288273499394
Jammu and Kashmir,Punch,33.791241290322574,74.29593161290322,5,476835,346,892.9610677295266,54.88774943114495
Jammu and Kashmir,Srinagar,34.27312898550724,75.11021159420288,10,1236829,16413,899.5291219491219,60.52445406761969
Jammu and Kashmir,Udhampur,33.04770670731707,75.15286951219511,19,554985,1214,869.9963609898108,58.083371622656465
Jharkhand,Bokaro,23.6814965034965,85.98398374125864,355,2062330,9754,922.3681426388903,61.75151406418953
Jharkhand,Chatra,24.11619945750453,84.93295804701627,347,1042886,590,953.2077874647663,48.908605542695945
Jharkhand,Deoghar,24.33070100755672,86.75697632241814,350,1492073,1944,925.2008330086113,53.18359088328788
Jharkhand,Dhanbad,23.854509090909097,86.40372924901185,354,2684487,11568,909.3677184776764,64.15393332133849
Jharkhand,Dumka,24.275006125574265,87.27662450229711,362,1321442,1193,976.6856041907873,50.88448830898366
Jharkhand,Garhwa,24.082114689265527,83.68664265536722,346,1322784,565,935.097099806166,49.4015651837337
Jharkhand,Giridih,24.30578509874329,86.08710915619386,349,2445474,1944,943.7865730650553,51.256934238515726
Jharkhand,Godda,24.8189,87.2941735483871,351,1313551,874,937.5994760497812,46.02173802159185
Jharkhand,Gumla,23.078532948929148,84.55056787479396,366,1025213,831,993.0655728144015,54.5954840603855
Jharkhand,Jamtara,23.97873318077801,86.95325080091534,363,791042,808,954.01032532174,53.89246083014555
Jharkhand,Latehar,23.72511185840708,84.48298743362837,359,726978,340,966.5806430669847,48.23832358063105
Jharkhand,Lohardaga,23.488796043165483,84.6605169064748,356,461790,351,985.0921424242034,56.239199636198265
Jharkhand,Pakur,24.57260428082189,87.69691969178076,353,900422,328,989.1751222217068,39.19062395188034
Jharkhand,Palamu,24.196925968109337,84.20310842824594,358,1939869,2155,927.720505375126,52.81609222066026
Jharkhand,Ranchi,23.184235061391547,85.31781937244203,364,2914253,22538,949.4152596397039,65.58912352496506
Jharkhand,Sahibganj,24.93667989690721,87.68264097938142,352,1150567,591,952.1285530318582,42.00216067382429
Jharkhand,Simdega,22.608760391198054,84.59193691931536,367,599578,423,996.5369003259975,57.28745884605506
Karnataka,Bagalkot,16.15860676328503,75.64526070853468,556,1889752,3745,988.9802349409701,58.9184189248113
Karnataka,Bangalore Rural,12.936827087794448,77.47369314775169,583,990923,3729,946.1458996174181,69.50580418458347
Karnataka,Belgaum,16.16107219152853,74.72329042357275,555,4779661,17560,972.5698423854435,63.85457043920061
Karnataka,Bellary,15.074377548209377,76.47228471074374,565,2452595,9626,982.7697715517311,57.96395246667305
Karnataka,Bidar,17.950361730769224,77.19459961538459,558,1703300,3971,956.320743339861,61.21487700346386
Karnataka,Bijapur,16.84015316666667,75.95909166666665,417,255230,117,983.7093803191283,34.05516592877013
Karnataka,Bijapur,16.84015316666667,75.95909166666665,557,2177331,4987,959.755072356803,57.330190035414915
Karnataka,Chikmagalur,13.425288289676422,75.67626502311249,570,1137961,4510,1008.324773835114,71.91327295047897
Karnataka,Chitradurga,14.29102220394736,76.57821957236843,566,1659456,5711,973.5622464598029,65.52701608237881
Karnataka,Davanagere,14.330414586709884,75.91723841166937,567,1945497,7320,972.3205596107056,67.25993409396159
Karnataka,Dharwad,15.343831376975173,75.13831264108359,562,1847023,15013,970.7759019895306,70.47362160622797
Karnataka,Gadag,15.507128256880746,75.64861302752298,561,1064570,3373,981.8969481352405,65.77087462543562
Karnataka,Gulbarga,17.070459515951594,76.87503850385033,579,2566326,9752,971.435485171941,55.61912243417243
Karnataka,Hassan,12.945098749999998,76.11049549999997,574,1776421,4851,1010.2832854457617,68.9732895524203
Karnataka,Haveri,14.737582809224318,75.3961230607966,564,1597668,2456,950.4497465597562,67.93920889696733
Karnataka,Kodagu,12.39684468085106,75.79336595744688,576,554519,3308,1019.311163549496,74.4567814628534
Karnataka,Kolar,13.312799881235172,78.01376947743476,581,1536401,5051,978.8883507900607,66.14282339050807
Karnataka,Koppal,15.651253271028034,76.1617048598131,560,1389920,2135,985.8099284781534,58.210904224703576
Karnataka,Mandya,12.574901806239744,76.81570098522172,573,1805769,3367,995.1374732759907,63.66534146947921
Karnataka,Mysore,12.248100259403367,76.52881802853437,577,3001127,28397,985.3975919555438,65.38143837298455
Karnataka,Raichur,16.050795353982295,76.87368606194688,559,1928812,5200,999.7822730896796,50.79650064391967
Karnataka,Shimoga,14.063845885634592,75.17882078103197,568,1752753,8791,997.6328191334774,72.058983781514
Karnataka,Tumkur,13.592467760074973,77.02297966260545,571,2678980,7971,983.5568646092015,67.68960574547029
Karnataka,Udupi,13.450404228534568,74.72009990316337,569,1177361,9070,1094.4601881056194,78.68691081155228
Kerala,Alappuzha,9.542602965599087,76.38010796263319,598,2127789,28842,1100.1883250324238,87.07616215705599
Kerala,Ernakulam,10.004879301987431,76.26957729035381,595,3282388,88737,1026.7196523493772,86.99995247362591
Kerala,Idukki,9.80480963855423,77.04586641566264,596,1108974,8250,1006.0744417591641,83.23098647939446
Kerala,Kannur,11.941523076923056,75.35209891725934,589,2523003,32653,1135.5212172202537,84.75748938863728
Kerala,Kasaragod,12.33310309912974,75.07768497134369,588,1307375,10378,1079.7772238245154,79.35687924275744
Kerala,Kollam,8.929388820570157,76.6360775852431,600,2635375,31542,1113.426326898525,85.00775032016317
Kerala,Kottayam,9.643701174068417,76.46059673302705,597,1974551,37849,1039.2165975240864,88.61751355118201
Kerala,Kozhikode,11.392924270557026,75.71158720159153,591,3086293,36791,1098.1745031415242,84.74383345975252
Kerala,Malappuram,10.97329875666072,75.93910775606876,592,4112920,27909,1098.0774645875588,80.51007556675063
Kerala,Palakkad,10.784926903553291,76.49980490693744,593,2809934,27162,1066.9212741949484,79.69909613535407
Kerala,Thiruvananthapuram,8.537101759082221,76.88711502868073,601,3301427,71621,1087.2940004223365,84.36981947503307
Kerala,Thrissur,10.458932647907687,76.12321940836945,594,3121200,56148,1107.8322459434764,85.81789055491478
Kerala,Wayanad,11.715277464788736,76.07587007042254,590,817420,4712,1034.9827227372762,78.97837097208289
Madhya Pradesh,Anuppur,23.18184220430107,81.86560000000007,461,749237,1290,976.2841783737873,58.27194866243926
Madhya Pradesh,Ashoknagar,24.63098846153845,77.82974493927134,459,845071,619,904.0120584809288,55.51119373401762
Madhya Pradesh,Balaghat,21.80020720640569,80.42170053380796,457,1701698,1712,1020.5918463792689,67.43987476038639
Madhya Pradesh,Barwani,21.702135714285724,74.91004719710673,441,1385881,1158,981.6984585466296,39.68060749804636
Madhya Pradesh,Betul,21.964626315789477,77.7873428189117,447,1575362,2109,971.0848860661932,59.654162027521295
Madhya Pradesh,Bhind,26.35951126187245,78.7618324287653,420,1703005,1166,837.4255402479168,64.29323460588783
Madhya Pradesh,Bhopal,23.480726143790854,77.39246623093679,444,2371061,40788,918.1323970779772,70.03995257819179
Madhya Pradesh,Burhanpur,21.364567254408065,76.24460478589425,467,757847,986,950.6800444783065,53.92632022030832
Madhya Pradesh,Chhatarpur,24.813637376460004,79.56449299191374,425,1762375,1880,882.6358985643949,53.50921341939144
Madhya Pradesh,Chhindwara,22.227966971713823,78.76413136439254,455,2090922,3588,964.2882641845504,61.89604394616346
Madhya Pradesh,Damoh,23.76624407960196,79.47049303482588,428,1264219,1432,910.0628066109359,59.1444203891889
Madhya Pradesh,Datia,25.90226439560441,78.63916571428574,422,786754,616,872.5238422780056,62.46488737267304
Madhya Pradesh,Dewas,22.7851110021322,76.46088805970157,437,1563715,3518,941.6372077545542,59.17759949862986
Madhya Pradesh,Dhar,22.572681718963157,75.1105620736698,438,2185793,2388,964.3604664225213,49.28819883676084
Madhya Pradesh,Dindori,22.83738437047757,81.04332966714911,453,704524,554,1001.9834447718612,53.754591752729496
Madhya Pradesh,Guna,24.49043927178156,77.2235895968791,458,1241519,2482,911.9058398859188,52.67579473209834
Madhya Pradesh,Gwalior,26.04074441964285,78.12782433035713,421,2032036,15779,863.6941027783408,66.79064740978998
Madhya Pradesh,Harda,22.227659781121783,77.07022571819435,448,570465,986,934.8421845216695,61.80046102740746
Madhya Pradesh,Hoshangabad,22.595268801996703,78.02168094841929,449,1241350,2871,913.5226791013141,65.3034196640754
Madhya Pradesh,Indore,22.680265752128648,75.9133801324502,439,3276697,48691,927.8918256770456,70.47127030665331
Madhya Pradesh,Jabalpur,23.18525572327043,79.98328754716981,451,2463289,20443,928.5457042241392,71.30580293258323
Madhya Pradesh,Jhabua,22.419578015397768,74.40921616766468,464,1025048,744,990.2955790323928,34.34775737331325
Madhya Pradesh,Katni,23.724416229116937,80.33819665871127,450,1292042,2179,951.6867493538647,61.20335097465872
Madhya Pradesh,Mandla,22.70348712446353,80.38600543633753,454,1054905,912,1008.3023652507652,57.347533664168814
Madhya Pradesh,Mandsaur,24.19278764044944,75.43588667736759,433,1340411,2324,962.9626375300029,62.26381311403741
Madhya Pradesh,Morena,26.37313504531724,77.88447341389724,419,1965970,1781,840.0774229537717,60.00523914403577
Madhya Pradesh,Neemuch,24.70311893333336,75.06608186666664,432,826067,1945,954.4803893501288,61.59718279510016
Madhya Pradesh,Panna,24.451325840092657,80.21133001158752,426,1016520,653,905.451000974732,54.35790737024357
Madhya Pradesh,Raisen,23.292518206521724,78.16305495923909,446,1331597,1141,901.3090448028008,61.59671432122481
Madhya Pradesh,Rajgarh,23.785499026425583,76.66431223922116,442,1545814,1611,956.201626905185,52.0272814193687
Madhya Pradesh,Ratlam,23.503562290502792,75.14895782122909,434,1455069,3644,970.9945668149019,56.75882037209232
Madhya Pradesh,Rewa,24.861184625158856,81.57572465057183,430,2365106,3406,930.5411803118113,60.959508791572134
Madhya Pradesh,Sagar,23.800318709677374,78.71940357771273,427,2378458,4546,893.2893508255079,64.98828232409402
Madhya Pradesh,Satna,24.62777621776502,80.75547048710598,429,2228935,3754,925.6541064972203,61.54423525136444
Madhya Pradesh,Sehore,22.9297199679658,77.06780202883085,445,1311332,1566,917.872650981436,59.509109821158944
