camera,age,ram,cpu_score,slot_sd,sims,price
170,1,8,97,1,2,67287
28,3,4,60,0,1,31906
35,1,4,57,1,1,63211
12,2,12,44,1,2,27567
159,0,4,42,0,2,22139
70,0,12,62,0,2,54525
186,0,12,65,1,2,46230
85,2,4,76,1,2,60368
27,2,6,63,0,2,27520
65,1,6,88,0,2,27702
169,1,12,58,0,2,59934
44,1,4,90,0,1,33566
61,3,6,64,1,1,15657
184,0,4,60,1,1,45688
133,0,4,51,1,1,38134
27,1,4,96,1,1,18345
27,0,16,100,0,1,63476
107,1,4,80,0,2,63479
43,3,16,72,1,2,49185
83,3,12,89,1,1,57928
29,2,6,92,1,1,35413
189,3,6,43,1,2,13208
74,1,6,81,1,2,41455
127,3,6,96,1,2,57681
91,2,6,46,1,1,36018
189,0,6,61,1,2,62219
128,1,6,94,1,1,53991
120,0,12,72,0,1,16080
26,2,4,56,1,2,29902
189,2,8,63,0,2,59305
120,2,16,100,0,1,17486
115,0,8,100,1,2,46862
2,0,8,73,1,2,64126
102,0,4,67,0,1,66870
197,0,4,97,0,2,29158
199,2,4,82,1,1,48460
154,2,6,80,0,1,51856
136,1,12,78,1,2,43871
61,1,6,61,1,1,43208
164,0,12,88,1,1,28519
50,3,12,56,0,2,39379
171,3,8,73,0,2,36378
151,2,8,45,1,2,47892
58,2,12,85,0,1,62353
117,2,12,45,0,1,57996
159,1,6,73,0,2,22031
95,1,6,40,0,1,22536
179,2,8,49,0,2,8446
112,2,4,60,0,2,44683
61,2,12,44,0,1,56555
185,3,6,41,1,2,60261
51,1,8,61,0,1,25618
11,3,6,87,0,1,14587
38,3,12,96,0,2,39480
129,2,12,41,0,1,40994
130,2,16,49,0,2,28527
112,0,4,73,0,1,31569
100,0,16,55,0,1,19151
112,3,8,87,0,1,13558
183,1,6,90,1,2,67174
80,2,8,100,0,1,52739
186,2,12,78,0,2,40954
112,3,16,61,0,1,55448
1,0,16,51,0,1,55327
129,1,16,63,1,2,51837
53,0,8,86,1,2,43303
86,0,12,79,1,2,42700
128,0,6,77,1,2,35500
146,0,6,99,1,2,66192
125,2,8,98,1,1,10032
129,2,16,49,1,1,9252
52,0,4,74,1,2,13509
171,1,8,90,1,1,45842
159,3,8,88,1,1,21900
197,1,12,71,1,1,22523
159,1,6,46,1,2,9881
67,1,8,60,1,1,41037
182,0,8,59,1,1,9630
183,2,16,65,1,1,28789
122,1,16,43,1,2,68547
144,0,4,85,0,1,30523
37,1,12,91,1,1,25958
23,1,4,61,0,2,54151
68,0,16,54,1,2,56920
115,2,6,95,1,1,51852
97,2,16,79,0,1,9695
197,3,12,60,1,2,60410
138,0,16,54,0,2,22821
143,3,12,61,0,2,11262
96,3,12,91,0,2,9445
200,3,12,67,1,2,63415
123,2,12,53,1,2,65563
186,0,12,66,1,2,24436
69,3,6,100,0,1,17949
92,0,4,80,0,2,62722
2,0,8,79,1,2,31963
147,2,4,97,1,1,58818
186,3,12,67,1,2,37932
163,3,6,65,1,2,14901
146,0,16,88,1,1,59937
89,1,6,41,0,2,41487
194,2,12,64,0,1,16597
146,2,6,95,0,1,14855
147,2,6,42,1,1,26678
95,2,12,47,0,1,16263
198,3,6,83,0,2,55288
51,3,8,72,0,1,67397
160,1,8,81,0,1,33805
167,2,6,91,0,2,34143
127,2,16,74,1,1,19874
38,0,12,45,0,1,35529
81,3,8,78,1,1,28866
103,2,16,91,1,1,22079
128,1,6,62,1,2,57850
10,1,16,64,1,1,15243
184,3,4,98,1,2,37872
177,1,8,89,0,2,17018
150,1,6,82,0,1,63070
158,3,12,58,1,1,57500
41,2,6,44,1,1,62526
98,2,12,90,1,1,20100
6,1,6,50,0,2,65021
143,1,16,95,1,2,57459
89,2,16,51,0,2,27800
111,3,16,49,1,1,34910
59,1,4,47,0,2,37437
112,0,12,63,1,1,45588
1,3,16,99,0,1,19001
128,1,4,67,1,1,54675
47,1,12,80,0,1,27942
139,0,6,75,0,1,28862
196,0,4,76,0,2,19669
36,2,8,60,0,2,63683
159,3,4,47,0,1,61772
8,3,4,94,0,2,23916
98,2,12,48,0,1,18878
146,3,6,86,1,1,10985
47,3,8,54,1,1,40369
130,3,16,87,1,2,16112
147,3,16,85,1,1,49235
151,3,4,79,1,1,26931
53,0,12,57,0,2,35340
119,3,12,81,0,2,8336
160,0,16,99,0,2,50933
151,3,8,59,0,1,27363
115,2,6,45,0,1,53536
74,1,8,51,1,2,11968
112,0,6,41,1,1,41678
199,3,16,46,1,2,59148
163,2,6,55,1,2,56400
165,1,12,42,0,1,24279
103,0,4,84,0,1,11129
83,1,4,42,0,2,46215
111,2,16,66,1,2,46897
98,0,12,89,0,2,13850
152,1,8,82,1,2,28588
92,3,12,79,0,1,48214
145,0,4,77,0,2,19949
127,1,4,72,1,2,16519
109,2,12,67,0,2,34375
81,2,12,40,0,1,41082
193,0,4,94,1,1,19737
53,1,8,47,0,2,9134
162,0,16,76,1,1,18938
188,0,16,71,0,1,62028
168,1,12,99,0,1,32486
160,1,16,87,0,2,56356
67,3,4,82,0,2,34096
32,1,4,76,0,1,49115
141,2,12,43,0,2,13592
20,0,12,69,0,2,26108
47,0,12,45,0,1,60495
147,2,8,85,1,1,25270
127,1,16,93,1,2,35649
135,2,12,58,0,1,18997
134,2,6,71,0,2,41489
194,3,6,48,1,2,64830
144,2,4,51,0,1,17104
127,0,16,50,0,2,60509
32,2,12,85,1,2,8870
175,0,6,94,0,1,36684
186,0,16,55,0,1,47519
114,0,4,40,1,1,57649
118,1,8,84,0,2,42524
21,3,16,94,0,1,38957
157,0,16,92,1,1,41885
37,0,8,60,0,1,52369
108,1,16,69,1,1,43596
50,0,4,52,0,2,37866
181,2,4,73,0,2,38676
7,2,8,43,1,1,55764
26,3,12,67,1,2,58799
26,0,6,77,0,1,21878
20,1,12,97,1,1,47760
29,2,16,70,1,2,35559
96,1,6,98,0,2,54546
27,1,8,94,0,1,14771
110,2,8,66,0,1,24526
191,1,6,44,1,2,37896
196,2,4,64,1,1,39923
60,1,6,42,1,2,59913
47,2,16,72,1,1,44203
146,0,4,43,0,1,47390
3,3,8,64,1,2,20852
34,2,6,59,0,2,55574
191,2,12,73,1,2,51391
48,3,12,65,0,2,64221
16,2,16,44,0,2,61664
171,2,12,74,0,2,9848
157,1,6,100,1,2,39027
45,3,6,67,0,1,43464
116,0,12,68,0,1,42485
5,2,6,48,1,1,27456
98,3,16,91,0,2,17259
123,1,4,77,1,2,43554
36,0,16,89,1,2,54922
23,3,16,45,0,1,21409
92,0,6,58,0,2,11791
45,0,4,99,1,2,33864
180,0,6,83,0,1,44639
94,2,8,96,1,2,42574
98,2,6,50,1,1,25888
187,1,6,41,1,1,27692
115,1,6,86,0,2,31501
190,3,4,83,1,2,21304
159,1,6,83,0,2,62200
160,0,4,48,0,1,35527
66,0,12,60,0,1,65415
127,2,8,63,0,1,26074
17,0,4,73,1,2,23549
24,3,12,61,0,2,37963
53,0,4,42,1,2,33920
57,0,4,51,1,2,38826
66,3,8,67,0,1,44071
103,1,16,69,1,1,60265
173,1,16,65,1,1,24061
23,3,4,87,0,1,66226
113,2,6,60,1,2,36810
31,0,12,67,1,2,68006
174,3,6,95,1,2,65002
85,0,6,65,1,1,55966
150,2,4,72,0,1,30800
193,0,4,60,1,2,58656
126,3,4,74,1,2,51423
154,0,4,91,1,1,67897
129,1,16,73,1,2,49692
16,2,4,80,0,1,17940
103,2,16,90,1,1,11924
160,2,16,86,0,1,65767
136,3,4,57,1,2,36054
42,2,8,97,0,2,17783
175,1,12,50,0,1,45253
38,3,6,96,0,2,53397
169,1,16,62,0,1,21233
25,0,12,87,0,1,53669
98,0,8,61,1,1,32484
49,0,6,56,1,1,33068
152,0,6,44,1,2,8191
151,1,16,83,0,1,33074
12,3,4,50,1,1,12917
59,3,8,69,0,2,46599
134,2,16,54,0,1,33832
56,1,8,66,1,1,50928
35,0,4,74,1,2,28706
172,1,4,72,0,2,21682
19,2,16,59,0,2,34762
64,2,4,100,1,1,31383
7,1,12,55,1,2,66160
143,1,6,73,1,2,35796
141,1,16,41,1,1,31666
114,3,8,74,0,1,66817
142,0,12,79,1,1,33662
91,1,16,95,1,1,53159
97,1,4,67,1,1,42642
65,1,4,86,0,2,49830
31,2,4,78,0,2,45531
190,2,4,45,0,2,18234
85,3,8,48,0,1,65616
50,0,12,59,1,1,17221
152,3,6,99,0,1,19410
185,0,8,40,1,2,22519
62,2,8,47,1,2,69413
189,2,6,94,1,1,9051
124,2,6,62,1,2,52993
149,3,4,42,0,1,17765
57,1,8,43,0,2,19382
57,1,16,97,0,2,20580
85,2,6,64,1,2,64690
48,1,6,86,1,1,64563
179,1,12,77,1,2,40323
169,3,16,54,1,2,52757
69,0,16,60,1,1,68633
14,2,6,74,0,2,63472
53,2,4,96,1,1,19939
187,3,12,92,0,1,59257
100,3,16,92,1,1,37964
7,1,6,85,1,1,8307
52,2,16,91,0,1,64889
59,0,12,53,0,2,11359
107,3,12,75,1,1,37648
4,0,8,51,1,1,43944
102,0,6,56,1,1,42019
195,2,12,78,1,1,46134
5,2,8,48,0,2,35323
108,3,8,74,1,1,58669
115,2,16,99,0,2,14226
93,2,16,52,1,1,29689
46,2,8,54,0,2,38971
98,0,16,57,0,1,33954
54,3,12,90,1,1,63021
167,1,4,72,0,2,32423
51,0,12,45,1,1,38391
143,2,8,98,0,2,22330
12,0,8,66,1,1,12891
113,2,12,62,0,2,12992
123,2,16,98,1,1,9961
105,0,16,66,1,1,20497
157,3,8,73,0,2,60015
146,2,6,95,0,1,40551
144,3,16,85,0,1,18848
119,1,12,77,0,1,67838
62,2,16,53,1,1,63755
18,3,12,75,0,1,21255
91,3,8,92,1,1,12567
57,1,16,47,0,2,56847
182,3,12,74,1,2,47281
89,3,8,58,1,2,56003
116,1,6,69,1,1,28389
61,2,12,53,1,2,52523
22,3,6,98,0,1,66266
126,3,6,59,0,1,69576
136,3,4,88,1,1,69806
139,0,16,64,0,1,51919
128,1,12,79,0,2,24567
57,0,6,63,1,1,64907
121,1,4,53,0,2,11358
0,2,8,65,0,1,30999
33,2,12,77,0,2,50358
95,3,6,62,1,2,63949
125,1,16,61,0,2,18988
117,2,4,87,1,2,65880
47,1,6,96,0,2,48446
88,2,16,58,0,2,39521
116,0,6,85,0,1,13698
128,2,12,90,1,2,9273
15,0,12,42,1,1,35543
188,2,12,81,0,2,63805
191,3,4,58,1,1,39349
190,0,12,48,0,2,19241
68,2,16,67,1,2,58248
21,3,6,59,1,1,17497
92,0,8,84,0,2,49875
194,3,16,46,0,2,40703
75,1,16,53,0,2,52041
153,1,12,48,0,1,39954
143,0,4,98,1,2,16002
178,2,6,99,1,1,12247
85,0,4,94,1,2,49988
184,3,6,96,0,2,29698
28,2,6,99,0,1,67321
68,1,4,58,1,2,27738
46,2,16,86,0,2,18703
93,1,6,91,1,1,56240
189,2,4,53,1,2,57422
196,2,6,95,1,1,25570
143,2,8,77,1,1,69899
175,3,16,92,1,1,20392
84,3,12,100,0,2,52724
38,0,6,75,0,1,40299
99,0,8,79,0,1,23641
32,1,12,56,1,2,21998
100,3,12,69,1,1,14305
22,1,6,48,1,2,40726
9,0,4,72,1,2,26782
68,1,6,95,0,2,20721
99,0,8,91,0,2,47763
33,3,12,64,1,1,20427
179,2,6,53,1,1,54550
137,3,4,50,1,1,64451
146,1,6,92,0,1,28566
185,1,16,74,0,1,67055
95,3,4,80,0,2,10230
0,3,8,98,1,1,14511
68,0,12,53,1,1,57280
3,1,6,69,0,1,50229
15,1,4,80,1,2,60824
23,3,16,43,0,2,34177
79,2,4,98,1,1,12765
1,1,16,43,0,2,28354
127,2,8,67,1,1,31929
159,3,12,47,0,1,36820
83,3,8,41,0,2,54040
151,0,6,80,0,2,37523
139,1,4,100,0,1,13552
177,2,16,85,0,1,8627
162,0,16,61,0,2,19989
123,1,4,80,1,1,21780
32,0,4,95,1,2,14589
160,3,6,94,1,1,42812
188,1,8,55,0,2,36128
178,0,16,68,0,1,53939
170,0,6,88,1,1,59493
100,2,8,87,0,2,46652
11,0,6,69,0,1,35790
66,1,16,51,0,1,48953
64,1,4,74,0,2,8249
160,2,4,50,0,1,27309
167,1,8,85,1,1,62195
73,3,12,89,1,1,58126
42,1,8,60,1,2,33901
43,1,12,60,1,2,31576
28,0,6,44,1,2,39508
140,0,6,87,0,1,17175
11,1,16,59,0,1,33464
94,2,12,76,0,1,68281
45,0,16,42,0,1,24260
129,2,4,83,1,2,67461
34,1,12,72,1,1,43440
80,1,8,92,1,1,37546
89,3,4,100,0,1,48047
7,0,4,48,1,2,64683
92,1,8,100,0,1,66670
153,3,4,48,1,1,49430
89,0,12,43,1,1,9987
161,1,16,74,0,1,57242
114,1,4,56,0,1,33105
104,0,12,73,1,2,20948
134,0,6,63,1,1,61211
195,0,12,71,0,1,21026
57,1,16,40,1,1,10773
113,1,12,47,1,1,53927
74,3,8,84,0,1,17878
156,2,16,62,1,1,65535
119,0,6,86,0,1,50946
163,1,8,79,1,1,68967
20,1,12,51,0,1,64561
163,0,16,93,1,1,18377
137,2,6,51,0,2,61592
100,0,8,85,1,2,15347
200,2,6,86,0,2,41776
151,1,12,54,1,2,11783
191,2,6,80,1,1,63798
176,3,4,58,1,2,12298
98,1,8,65,1,2,12668
35,3,6,91,1,1,28671
95,0,12,68,1,2,42820
151,0,12,61,1,2,63161
150,0,6,79,1,1,68652
189,2,12,60,1,1,42484
36,1,16,90,0,1,41078
11,0,16,77,0,2,55159
112,0,16,59,1,2,28922
182,1,4,96,0,1,42028
12,0,6,68,1,1,53925
22,3,4,90,1,2,28316
98,1,12,43,0,1,19460
104,1,4,94,1,2,24968
29,1,12,46,1,1,38266
16,3,12,67,0,1,68143
112,1,8,67,0,2,38209
61,3,16,43,1,1,32000
83,1,12,61,0,1,65703
111,2,8,51,0,1,22011
85,0,16,84,1,2,10866
140,2,12,42,0,1,55133
186,0,12,61,0,1,13898
18,3,4,83,1,1,26395
176,2,4,41,0,1,47019
99,1,16,63,0,1,45707
139,0,12,73,1,1,12006
188,0,6,66,1,2,42393
146,2,4,94,1,2,18956
75,3,16,80,0,1,58042
8,2,12,40,1,2,38663
198,3,12,47,1,2,14078
27,3,6,62,0,1,37631
127,0,16,77,1,2,38140
51,2,12,45,1,2,64188
82,2,4,61,1,2,49691
110,3,6,64,1,2,11961
143,2,16,57,0,2,37277
116,1,6,56,1,2,59656
68,1,4,100,1,2,49574
98,2,16,51,0,2,60958
139,2,6,45,1,1,39417
24,3,8,65,0,1,30484
179,1,4,66,0,2,26103
122,1,4,47,0,2,37345
52,0,4,58,1,1,54326
150,3,8,99,0,2,47454
143,0,8,81,0,2,9587
56,1,12,40,0,1,64152
38,3,6,96,1,1,50571
108,2,12,68,1,1,58048
180,3,6,84,1,2,62710
41,2,8,88,1,2,65621
185,2,8,74,1,1,29031
166,3,12,79,1,1,34212
141,2,16,53,1,2,18350
121,0,12,74,0,1,26816
132,1,6,87,0,2,28288
162,2,12,84,0,2,37432
74,0,4,59,0,1,52222
145,2,6,95,1,1,56617
75,1,6,88,0,2,14837
8,0,16,52,0,1,42217
73,1,8,100,0,1,28884
185,1,6,77,0,1,13454
144,0,8,88,1,1,17424
6,0,12,85,1,2,44885
173,0,4,88,1,2,49637
140,3,16,47,0,2,51618
167,0,8,82,1,2,26412
169,0,6,59,0,1,55111
136,0,8,99,1,1,47613
177,0,6,72,1,2,28142
26,2,8,65,1,2,63056
121,3,6,78,1,1,45392
193,1,12,60,1,2,67381
4,0,6,92,0,2,67993
28,2,6,88,1,1,16848
164,2,4,81,0,2,57317
165,2,6,82,0,1,21136
82,1,4,93,0,1,61743
135,0,16,80,0,2,8589
108,3,4,48,0,1,28908
64,3,12,63,1,2,59973
85,2,4,76,1,1,69602
144,1,16,88,1,2,14509
70,1,12,80,1,2,48461
44,1,8,56,0,2,50222
131,3,8,63,1,1,57223
35,2,4,60,1,1,52476
69,0,4,90,0,2,53710
158,3,16,98,0,1,60732
18,2,16,78,1,2,65114
188,2,6,94,1,2,57420
107,0,16,80,0,1,17968
181,0,6,78,1,2,10462
166,0,12,52,1,1,17460
90,1,4,50,1,2,41783
89,0,12,85,1,1,68066
18,2,16,58,0,2,17275
38,0,12,50,0,2,36677
125,2,12,52,0,1,21269
194,3,12,85,1,2,65136
172,1,16,84,1,2,8406
140,3,12,40,1,1,15384
125,3,6,79,1,2,63201
57,2,16,83,1,1,30553
147,3,12,58,0,2,32366
199,2,16,51,1,1,52036
60,0,8,47,1,2,25369
126,0,6,47,0,2,19795
104,2,12,100,1,2,12485
166,0,8,92,0,1,49669
0,1,8,84,0,1,10618
130,3,16,51,0,1,38143
91,1,8,100,0,1,37425
189,3,6,87,0,2,30673
190,0,6,72,1,2,17603
112,1,4,84,0,1,47696
152,0,6,65,0,1,13368
55,3,8,78,1,1,12621
160,2,6,67,1,2,66829
165,2,16,97,0,1,68294
116,1,4,44,1,1,22719
133,0,8,47,1,2,37227
57,0,4,64,0,2,51894
43,1,8,66,0,1,15566
172,2,16,85,1,2,20306
159,3,4,62,0,1,61822
172,1,12,69,0,2,32042
60,3,8,84,1,1,23086
46,2,12,86,0,1,25387
148,0,4,62,0,1,35042
79,2,12,88,0,1,31888
117,1,12,86,0,2,59618
163,0,4,59,0,2,34514
146,1,16,57,1,2,26323
19,1,12,57,1,2,26019
184,2,12,41,0,1,17890
145,1,16,43,1,1,48863
46,2,12,69,0,2,63417
48,0,12,72,0,2,53487
13,2,12,75,0,2,18283
142,0,6,57,0,2,26279
158,2,16,76,0,2,54999
0,3,12,58,1,1,30908
116,3,16,86,1,1,69584
53,1,8,67,0,1,68742
117,2,8,79,1,2,55466
2,2,12,59,0,2,58225
143,0,16,88,1,2,45952
184,1,16,72,0,2,43170
11,2,16,51,1,1,45663
73,1,6,97,0,1,64483
15,3,8,90,0,2,52172
199,2,16,54,1,1,69381
101,2,16,80,1,1,55929
151,1,6,78,0,2,17343
155,2,6,41,1,2,18637
116,1,16,68,0,2,42724
7,2,4,80,1,2,47791
121,0,16,49,1,2,37134
91,1,16,41,0,2,54830
163,2,6,90,1,1,55101
89,3,6,50,1,1,11907
135,2,16,52,0,2,41575
185,3,16,49,1,1,65530
59,3,16,53,0,2,54799
177,0,6,57,0,2,12827
27,1,16,90,0,2,38607
100,2,16,93,0,2,21699
40,0,12,48,0,1,45292
191,2,4,96,1,2,55961
154,3,8,78,0,1,33883
190,1,4,67,0,2,56991
144,2,12,42,1,2,59436
200,2,8,59,1,2,13313
160,3,16,45,1,1,21598
156,2,12,66,0,2,53826
140,2,16,92,0,2,57909
45,3,6,41,0,2,36807
34,0,12,68,1,1,12887
133,3,6,77,0,1,11854
81,0,12,42,1,1,53226
114,1,12,55,0,2,67550
196,0,6,69,1,1,22536
46,0,8,79,0,2,11558
152,1,4,41,0,1,17772
193,0,16,56,0,1,58113
9,3,12,80,1,2,60999
55,0,16,51,1,1,63878
29,1,6,74,0,2,44343
108,3,16,82,0,2,66219
4,1,6,40,0,1,43186
118,1,16,94,1,2,44966
32,2,4,84,0,2,41769
117,2,4,54,0,1,62396
64,1,4,65,0,1,68728
145,1,4,76,0,2,47887
176,1,4,60,1,1,61218
10,2,4,88,1,2,27229
84,2,6,70,0,2,17673
25,0,12,64,0,1,35877
62,0,16,62,1,1,66001
85,1,4,63,1,1,39601
58,3,6,96,0,1,46084
26,3,6,77,1,2,24244
176,2,6,67,1,2,35356
160,2,12,60,0,1,24806
97,2,16,93,1,1,31099
104,1,12,82,1,2,52641
98,3,8,57,0,2,45034
128,0,6,75,0,2,48317
148,1,8,74,1,2,63468
54,0,4,84,0,1,27094
5,0,4,94,1,2,65796
196,1,12,48,0,2,18589
94,0,16,92,1,1,65221
132,3,8,77,0,2,67319
101,0,16,97,1,2,9657
2,3,12,69,1,1,40764
180,3,4,99,1,1,59693
22,3,16,83,0,1,47531
52,2,16,73,0,2,60227
164,0,4,71,1,2,11164
82,1,8,42,1,1,35542
144,1,4,42,0,1,26437
84,0,16,67,0,2,49247
77,2,8,83,0,1,46505
200,2,8,54,0,1,27601
109,3,4,80,0,1,36430
0,0,16,62,0,2,58599
50,0,12,79,1,2,14009
172,1,16,50,0,2,57759
3,0,6,87,1,2,12552
189,2,12,71,0,2,58916
192,0,8,97,0,2,17417
112,1,12,98,1,1,66579
31,3,8,96,1,2,49989
33,1,8,93,0,2,10671
91,1,12,75,1,1,14519
94,3,8,99,1,2,44730
71,1,8,72,1,2,20734
38,1,6,63,1,1,53890
153,0,16,78,0,1,60329
161,0,16,73,1,1,11722
181,3,6,95,0,2,12906
117,0,12,67,0,1,38096
2,0,4,76,0,2,48031
122,1,4,46,0,2,21699
49,2,4,43,1,2,29438
11,0,6,76,1,2,66819
192,2,6,95,0,1,51856
53,0,8,40,0,1,41576
132,0,4,40,0,2,49938
56,3,12,86,0,1,57028
144,3,12,59,1,2,67807
111,3,4,58,0,2,57877
46,2,4,68,1,2,40247
150,1,4,49,0,1,51461
84,0,6,99,0,2,35938
141,0,6,57,0,2,48469
65,0,6,67,0,1,25600
74,2,16,74,1,1,28435
178,3,12,82,1,1,26581
102,1,12,86,1,1,22191
165,2,8,70,0,2,27190
191,3,6,66,0,1,66122
37,2,16,50,1,2,58124
49,1,16,88,1,1,35386
97,3,12,88,0,1,39721
81,2,6,77,0,1,62786
29,1,8,44,1,1,21704
78,0,6,47,0,1,64635
90,1,4,73,0,1,10123
178,0,6,87,1,2,33174
190,2,4,91,0,1,52301
51,3,4,95,1,1,57376
165,3,8,51,0,1,55216
78,2,12,77,1,1,22586
29,3,6,40,0,2,39976
105,3,4,70,1,1,33416
50,0,6,43,1,1,9814
80,2,12,88,1,1,21001
132,1,12,84,1,1,58258
28,0,16,89,0,2,24508
131,2,12,44,0,1,27630
137,0,8,69,1,2,21380
183,1,4,95,0,1,56174
144,1,16,63,0,2,43699
73,2,8,98,0,2,54335
16,1,6,42,0,1,54806
83,0,4,50,0,1,20317
68,1,12,84,1,2,43739
33,0,4,43,1,2,42785
5,0,6,65,1,1,39980
52,1,16,66,1,2,31799
193,2,16,85,0,2,43183
125,3,16,93,0,2,37166
42,1,12,82,1,1,27480
114,0,8,66,0,2,9609
110,0,8,81,0,2,8717
150,1,4,90,1,2,27945
182,2,12,89,0,1,33592
79,2,16,45,1,1,36141
94,0,16,98,1,2,38009
117,0,6,100,0,1,53430
143,2,6,54,0,2,14782
7,3,16,92,1,1,34536
131,1,16,69,1,1,41816
103,0,12,81,0,2,33933
131,0,8,76,1,1,19618
183,2,6,97,1,1,16307
24,1,8,100,1,1,34671
194,2,12,76,0,2,48673
95,1,16,81,1,1,50761
194,1,8,99,0,1,18338
154,1,16,76,1,2,46346
92,0,16,74,0,1,54602
159,3,4,62,1,1,58772
177,2,8,45,0,1,14548
60,3,8,43,0,1,48149
121,2,16,57,0,1,29164
50,1,12,99,1,2,35526
146,0,4,48,1,2,39222
20,3,16,88,1,1,28176
4,0,6,68,0,1,10941
91,2,6,52,1,1,13695
169,0,4,98,0,2,47169
60,0,12,86,1,2,55947
21,3,16,91,0,1,55224
